PERMX	PERMY	PERMZ	Dates	Qoil(m3\day)	Qoil(t\day)	Qliq(m3\day)	Qcum_oil(m3)	Qcum_oil(t)	Qcum_wat
11	29	5	44044.00	267.012732	229.63095	398.47745	72973.85665	62757.51672	103666.1587
11	29	5	44075.00	265.281331	228.141946	395.527646	81197.57794	69829.91702	115927.5157
11	29	5	44105.00	264.60028	227.556241	393.778421	89135.58633	76656.60425	127740.8683
11	29	5	44136.00	264.200886	227.212762	392.338805	97325.81381	83700.19988	139903.3713
11	29	5	44166.00	263.751379	226.826186	390.934828	105238.3552	90504.98546	151631.4161
11	29	5	44197.00	263.00469	226.184034	389.238733	113391.5006	97516.69052	163697.8169
11	29	5	44228.00	261.90473	225.238067	387.215124	121510.5472	104499.0706	175701.4857
11	29	5	44256.00	260.63369	224.144974	385.131132	128808.2906	110775.1299	186485.1574
11	29	5	44287.00	258.938355	222.686985	382.561305	136835.3796	117678.4264	198344.5579
11	29	5	44317.00	257.100904	221.106777	379.899006	144548.4067	124311.6297	209741.5281
11	29	5	44348.00	255.066648	219.357317	377.033382	152455.4728	131111.7066	221429.5629
11	29	5	44378.00	253.031369	217.606978	374.214533	160046.4138	137639.9159	232655.9989
11	29	5	44409.00	250.910946	215.783414	371.306707	167824.6532	144329.2017	244166.5068
11	29	5	44440.00	248.814084	213.980112	368.445626	175537.8898	150962.5852	255588.3212
11	29	5	44470.00	246.836676	212.279542	365.752402	182942.9901	157330.9714	266560.8933
11	29	5	44501.00	244.867467	210.586023	363.067764	190533.8816	163859.1381	277815.994
11	29	5	44531.00	243.034297	209.009496	360.563122	197824.9105	170129.423	288632.8876
11	29	5	44562.00	241.218309	207.447745	358.07397	205302.678	176560.3031	299733.1807
11	29	5	44593.00	239.482228	205.954716	355.684351	212726.6271	182944.8993	310759.3956
11	29	5	44621.00	237.97521	204.658681	353.602227	219389.933	188675.3424	320660.2579
11	29	5	44652.00	236.377825	203.284929	351.385308	226717.6456	194977.1752	331553.2025
11	29	5	44682.00	234.900345	202.014297	349.323095	233764.6559	201037.6041	342032.8953
11	29	5	44713.00	233.438324	200.756959	347.272193	241001.244	207261.0698	352798.3333
11	29	5	44743.00	232.079792	199.588621	345.357618	247963.6377	213248.7284	363159.0619
11	29	5	44774.00	230.730516	198.428243	343.447404	255116.2837	219400.004	373805.9314
11	29	5	44805.00	229.431458	197.311054	341.600273	262228.6589	225516.6467	384395.5398
11	29	5	44835.00	228.219638	196.268888	339.869686	269075.248	231404.7133	394591.6304
11	29	5	44866.00	227.014121	195.232143	338.139711	276112.6858	237456.9098	405073.9614
11	29	5	44896.00	225.884253	194.260457	336.512417	282889.2133	243284.7235	415169.334
11	29	5	44927.00	224.753428	193.287948	334.877545	289856.5696	249276.6499	425550.5378
11	29	5	44958.00	223.657784	192.345694	333.287192	296789.9609	255239.3664	435882.4408
11	29	5	44986.00	222.697399	191.519764	331.887306	303025.4881	260601.9198	445175.2854
11	29	5	45017.00	221.667041	190.633656	330.378789	309897.1664	266511.5631	455417.0279
11	29	5	45047.00	220.698039	189.800314	328.954839	316518.1076	272205.5725	465285.673
11	29	5	45078.00	219.723915	188.962567	327.518744	323329.5489	278063.4121	475438.7541
11	29	5	45108.00	218.804786	188.172115	326.160094	329893.6925	283708.5755	485223.5569
11	29	5	45139.00	217.8785	187.37551	324.787468	336647.926	289517.2163	495291.9684
11	29	5	45170.00	216.977487	186.600639	323.447803	343374.2281	295301.8362	505318.8503
11	29	5	45200.00	216.125783	185.868173	322.178693	349858.0016	300877.8814	514984.2111
11	29	5	45231.00	215.265645	185.128455	320.894446	356531.2366	306616.8635	524931.9389
11	29	5	45261.00	214.452117	184.428821	319.677047	362964.8001	312149.7281	534522.2504
11	29	5	45292.00	213.631862	183.723402	318.446252	369587.3878	317845.1535	544394.0842
11	29	5	45323.00	212.830861	183.03454	317.241236	376185.1445	323519.2243	554228.5625
11	29	5	45352.00	212.097749	182.404064	316.13573	382335.9792	328808.9421	563396.4987
11	29	5	45383.00	211.331388	181.744993	314.977375	388887.2522	334443.0369	573160.7973
11	29	5	45413.00	210.605269	181.12053	313.877485	395205.4103	339876.6529	582577.1219
11	29	5	45444.00	209.870961	180.489027	312.762662	401711.4101	345471.8127	592272.7644
11	29	5	45474.00	209.17563	179.891041	311.704317	407986.679	350868.5439	601623.894
11	29	5	45505.00	208.476479	179.289772	310.635443	414449.4498	356426.5269	611253.5927
11	29	5	45536.00	207.791796	178.700945	309.586294	420890.9955	361966.2561	620850.7678
11	29	5	45566.00	207.142969	178.142953	308.589575	427105.2846	367310.5447	630108.455
11	29	5	45597.00	206.48853	177.580137	307.580654	433506.429	372815.5289	639643.4553
11	29	5	45627.00	205.866501	177.045191	306.620195	439682.424	378126.8847	648842.0612
11	29	5	45658.00	205.235344	176.502395	305.644137	446044.7197	383598.4589	658317.0294
12	12	1.5	43862.00	378.227779	325.27589	495.798459	13456.03391	11572.18917	17456.9555
12	12	1.5	43891.00	298.319496	256.554766	402.540185	22107.29929	19012.27739	29130.62087
12	12	1.5	43922.00	248.751171	213.926007	346.221026	29818.58559	25643.9836	39863.4727
12	12	1.5	43952.00	217.478722	187.031701	311.307508	36342.94726	31254.93464	49202.69794
12	12	1.5	43983.00	198.455413	170.671655	290.019815	42495.06507	36545.75596	58193.31221
12	12	1.5	44013.00	187.506931	161.255961	277.664214	48120.27302	41383.43479	66523.23861
12	12	1.5	44044.00	181.316599	155.932276	270.486402	53741.0876	46217.33534	74908.31708
12	12	1.5	44075.00	178.154183	153.212596	266.590124	59263.86725	50966.92584	83172.61094
12	12	1.5	44105.00	177.000091	152.220079	264.855663	64573.87	55533.5282	91118.28081
12	12	1.5	44136.00	177.154239	152.352646	264.492263	70065.65141	60256.46021	99317.54097
12	12	1.5	44166.00	178.077752	153.146867	264.968952	75407.98397	64850.86622	107266.6095
12	12	1.5	44197.00	179.43868	154.317264	265.904973	80970.58304	69634.70142	115509.6637
12	12	1.5	44228.00	180.864412	155.543394	266.923654	86577.3798	74456.54663	123784.297
12	12	1.5	44256.00	182.036961	156.551786	267.734661	91674.41472	78839.99666	131280.8675
12	12	1.5	44287.00	183.025053	157.401545	268.325449	97348.19133	83719.44455	139598.9564
12	12	1.5	44317.00	183.621532	157.914517	268.539326	102856.8373	88456.88007	147655.1362
12	12	1.5	44348.00	183.835662	158.098669	268.365161	108555.7428	93357.93882	155974.4562
12	12	1.5	44378.00	183.688393	157.972017	267.851177	114066.3946	98097.09934	164009.9915
12	12	1.5	44409.00	183.209031	157.559766	267.001315	119745.8745	102981.4521	172287.0323
12	12	1.5	44440.00	182.46347	156.918584	265.892273	125402.2421	107845.9282	180529.6927
12	12	1.5	44470.00	181.550392	156.133338	264.632911	130848.7538	112529.9283	188468.68
12	12	1.5	44501.00	180.46163	155.197001	263.191425	136443.0644	117341.0353	196627.6142
12	12	1.5	44531.00	179.320218	154.215388	261.713317	141822.6709	121967.497	204479.0137
12	12	1.5	44562.00	178.0902	153.157572	260.140938	147343.4671	126715.3817	212543.3828
12	12	1.5	44593.00	176.837572	152.080312	258.557403	152825.4318	131429.8714	220558.6623
12	12	1.5	44621.00	175.702179	151.103873	257.129202	157745.0928	135660.7798	227758.28
12	12	1.5	44652.00	174.458281	150.034122	255.567333	163153.2995	140311.8376	235680.8673
12	12	1.5	44682.00	173.278742	149.019719	254.086316	168351.6618	144782.4292	243303.4568
12	12	1.5	44713.00	172.095169	148.001845	252.602755	173686.6121	149370.4864	251134.1422
12	12	1.5	44743.00	170.98912	147.050643	251.212643	178816.2856	153782.0057	258670.5215
12	12	1.5	44774.00	169.892216	146.107307	249.827083	184082.9444	158311.3322	266415.161
12	12	1.5	44805.00	168.843341	145.205273	248.494748	189317.0879	162812.6956	274118.4982
12	12	1.5	44835.00	167.876679	144.373944	247.259179	194353.3883	167143.9139	281536.2736
12	12	1.5	44866.00	166.925768	143.55616	246.03598	199528.0871	171594.1549	289163.389
12	12	1.5	44896.00	166.046793	142.800243	244.898545	204509.4909	175878.1622	296510.3454
12	12	1.5	44927.00	165.179406	142.054289	243.76936	209630.0524	180281.8451	304067.1955
12	12	1.5	44958.00	164.351207	141.342039	242.684273	214724.9399	184663.4483	311590.408
12	12	1.5	44986.00	163.63522	140.72629	241.740326	219306.726	188603.7844	318359.1371
12	12	1.5	45017.00	162.877026	140.074242	240.734357	224355.9139	192946.0859	325821.9022
12	12	1.5	45047.00	162.171306	139.467323	239.793292	229221.053	197130.1056	333015.7009
12	12	1.5	45078.00	161.467636	138.862167	238.851047	234226.5497	201434.8328	340420.0834
12	12	1.5	45108.00	160.807419	138.294381	237.964083	239050.7723	205583.6642	347559.0058
12	12	1.5	45139.00	160.144314	137.72411	237.070701	244015.2461	209853.1116	354908.1976
12	12	1.5	45170.00	159.497949	137.168236	236.198412	248959.6825	214105.3269	362230.3483
12	12	1.5	45200.00	158.886383	136.642289	235.372244	253726.274	218204.5956	369291.5156
12	12	1.5	45231.00	158.267707	136.110228	234.535199	258632.5729	222424.0127	376562.1068
12	12	1.5	45261.00	157.680377	135.605124	233.739356	263362.9842	226492.1664	383574.2875
12	12	1.5	45292.00	157.084607	135.092762	232.93092	268232.607	230680.042	390795.146
12	12	1.5	45323.00	156.499214	134.589325	232.1356	273084.0827	234852.3111	397991.3496
12	12	1.5	45352.00	155.961033	134.126489	231.403441	277606.9526	238741.9793	404702.0494
12	12	1.5	45383.00	155.396476	133.640969	230.634237	282424.2434	242884.8493	411851.7108
12	12	1.5	45413.00	154.857891	133.177787	229.900149	287069.9801	246880.1829	418748.7153
12	12	1.5	45444.00	154.30929	132.705989	229.152155	291853.5681	250994.0686	425852.4321
12	12	1.5	45474.00	153.78564	132.25565	228.437924	296467.1373	254961.7381	432705.5698
12	12	1.5	45505.00	153.252041	131.796754	227.709774	301217.9506	259047.4375	439764.5728
12	12	1.5	45536.00	152.72583	131.344214	226.991281	305952.4513	263119.1081	446801.3025
12	12	1.5	45566.00	152.223454	130.912171	226.304921	310519.1549	267046.4733	453590.4501
12	12	1.5	45597.00	151.711596	130.471973	225.60526	315222.2144	271091.1044	460584.2132
12	12	1.5	45627.00	151.223317	130.052054	224.937093	319758.914	274992.666	467332.326
12	12	1.5	45658.00	150.726398	129.624702	224.256266	324431.4323	279011.0318	474284.2702
12	18	5	43862.00	433.327316	372.661492	574.333728	15551.74378	13374.49965	20328.83633
12	18	5	43891.00	334.159065	287.376796	460.15477	25242.35668	21708.42674	33673.32466
12	18	5	43922.00	278.235993	239.282954	396.768616	33867.67246	29126.19832	45973.15176
12	18	5	43952.00	247.169191	212.565504	361.7195	41282.74819	35503.16344	56824.73676
12	18	5	43983.00	229.859345	197.679037	341.925595	48408.3879	41631.21359	67424.4302
12	18	5	44013.00	221.293002	190.311982	331.784346	55047.17796	47340.57304	77377.96058
12	18	5	44044.00	217.148745	186.747922	326.472914	61778.78908	53129.75861	87498.6209
12	18	5	44075.00	215.823515	185.608223	324.225429	68469.31803	58883.61351	97549.6092
12	18	5	44105.00	216.085775	185.833767	323.724455	74951.89129	64458.62651	107261.3429
12	18	5	44136.00	217.138283	186.738923	324.060129	81683.17805	70247.53312	117307.2068
12	18	5	44166.00	218.337071	187.769881	324.600019	88233.29018	75880.62955	127045.2074
12	18	5	44197.00	219.388068	188.673738	324.994916	95034.32028	81729.51544	137120.0498
12	18	5	44228.00	220.034989	189.23009	324.99318	101855.4049	87595.64824	147194.8384
12	18	5	44256.00	220.203307	189.374845	324.578154	108021.0975	92898.14388	156283.0267
12	18	5	44287.00	219.867218	189.085808	323.598135	114836.9813	98759.80391	166314.5689
12	18	5	44317.00	219.108961	188.433707	322.221965	121410.2501	104412.8151	175981.2278
12	18	5	44348.00	217.951719	187.438479	320.434806	128166.7534	110223.4079	185914.7068
12	18	5	44378.00	216.574448	186.254025	318.455849	134663.9868	115811.0287	195468.3823
